駅名,時刻,種別,行先
久里浜,4:59,快特,羽田
久里浜,5:05,特急,泉岳寺
久里浜,5:15,特急,青砥
久里浜,5:27,特急,品川
久里浜,5:37,特急,青砥
久里浜,5:44,特急,羽田
久里浜,5:49,特急,青砥
久里浜,5:58,特急,青砥
久里浜,6:05,普通,品川
久里浜,6:12,特急,青砥
久里浜,6:24,特急（金沢から快特品川）,品川
久里浜,6:30,特急,青砥
久里浜,6:33,普通,川崎
久里浜,6:39,特急,青砥
久里浜,6:44,特急,品川
久里浜,6:49,特急,青砥
久里浜,6:55,普通,品川
久里浜,7:01,特急,青砥
久里浜,7:06,特急,品川
久里浜,7:11,特急,京成高砂
久里浜,7:15,特急,品川
久里浜,7:22,特急,京成高砂
久里浜,7:28,普通,羽田
久里浜,7:32,特急,京成高砂
久里浜,7:40,特急,品川
久里浜,7:45,特急,京成高砂
久里浜,7:50,普通,品川
久里浜,7:55,特急,青砥
久里浜,8:01,普通,金沢文庫
久里浜,8:10,特急,京成佐倉
久里浜,8:22,普通,金沢文庫
久里浜,8:34,特急,品川
久里浜,8:42,特急,京成高砂
久里浜,8:54,快特,青砥
久里浜,9:04,特急,品川
久里浜,9:14,特急,泉岳寺
久里浜,9:27,快特,泉岳寺
久里浜,9:37,快特,泉岳寺
久里浜,9:49,快特,泉岳寺
久里浜,9:53,特急,京成高砂
久里浜,10:06,快特,泉岳寺
久里浜,10:13,特急,青砥
久里浜,10:26,快特,泉岳寺
久里浜,10:33,特急,京成高砂
久里浜,10:46,快特,泉岳寺
久里浜,10:53,特急,青砥
久里浜,11:06,快特,泉岳寺
久里浜,11:12,特急,京成高砂
久里浜,11:26,快特,泉岳寺
久里浜,11:33,特急,京成高砂
久里浜,11:46,快特,泉岳寺
久里浜,11:53,特急,京成高砂
久里浜,12:06,快特,泉岳寺
久里浜,12:13,特急,青砥
久里浜,12:26,快特,泉岳寺
久里浜,12:33,特急,京成高砂
久里浜,12:46,快特,泉岳寺
久里浜,12:53,特急,青砥
久里浜,13:06,快特,泉岳寺
久里浜,13:12,特急,京成高砂
久里浜,13:26,快特,泉岳寺
久里浜,13:33,特急,京成高砂
久里浜,13:46,快特,泉岳寺
久里浜,13:53,特急,青砥
久里浜,14:06,快特,泉岳寺
久里浜,14:13,特急,青砥
久里浜,14:25,快特,泉岳寺
久里浜,14:32,特急,青砥
久里浜,14:47,快特,泉岳寺
久里浜,14:57,快特,青砥
久里浜,15:06,快特,品川
久里浜,15:17,快特,青砥
久里浜,15:26,特急,品川
久里浜,15:32,特急,青砥
久里浜,15:43,特急,青砥
久里浜,15:53,特急,押上
久里浜,16:03,特急,青砥
久里浜,16:14,特急,京成高砂
久里浜,16:26,特急,青砥
久里浜,16:35,特急,青砥
久里浜,16:46,特急,青砥
久里浜,16:58,快特,青砥
久里浜,17:08,特急,青砥
久里浜,17:18,快特,京成高砂
久里浜,17:27,特急,青砥
久里浜,17:38,快特,品川
久里浜,17:45,特急,泉岳寺
久里浜,17:58,快特,品川
久里浜,18:07,特急,青砥
久里浜,18:17,快特,品川
久里浜,18:27,快特,印旛
久里浜,18:36,快特,品川
久里浜,18:47,快特,青砥
久里浜,18:57,快特,品川
久里浜,19:06,特急,印旛
久里浜,19:16,快特,品川
久里浜,19:26,特急,青砥
久里浜,19:36,快特,品川
久里浜,19:47,特急,泉岳寺
久里浜,19:57,快特,品川
久里浜,20:07,特急,印旛
久里浜,20:16,快特,品川
久里浜,20:27,特急,成田空港
久里浜,20:37,快特,品川
久里浜,20:48,特急,青砥
久里浜,20:58,特急,泉岳寺
久里浜,21:08,特急,品川
久里浜,21:18,特急,品川
久里浜,21:31,特急,青砥
久里浜,21:44,特急,泉岳寺
久里浜,21:53,特急,品川
久里浜,22:06,特急,泉岳寺
久里浜,22:20,特急,泉岳寺
久里浜,22:41,特急,泉岳寺
久里浜,23:00,特急,京成高砂
久里浜,23:22,特急,押上
久里浜,23:44,特急,堀内
